datestamp,metric_id,business_unit,team,location,resource,compliance,detail
2024-12-01,AA01,Marketing,Advertising,Sydney,SYD-LPT-001,1.0,
2024-12-01,AA01,Marketing,Advertising,Sydney,SYD-WKS-002,0.0,Legacy system - remediation in backlog
2024-12-01,AA01,Marketing,Advertising,Sydney,SYD-LPT-003,1.0,
2024-12-01,AA01,Marketing,Advertising,Brisbane,BRI-LPT-001,0.25,Partial - exceptions applied for 1 sub-requirement
2024-12-01,AA01,Marketing,Advertising,Brisbane,BRI-WKS-002,1.0,
2024-12-01,AA01,Marketing,Advertising,Brisbane,BRI-LPT-003,1.0,
2024-12-01,AA01,Marketing,Advertising,Melbourne,MEL-LPT-001,1.0,
2024-12-01,AA01,Marketing,Advertising,Melbourne,MEL-WKS-002,0.0,Legacy system - remediation in backlog
2024-12-01,AA01,Marketing,Advertising,Melbourne,MEL-LPT-003,1.0,
2024-12-01,AA01,Marketing,Advertising,Perth,PER-LPT-001,1.0,
2024-12-01,AA01,Marketing,Advertising,Perth,PER-WKS-002,0.0,Decommission scheduled - not prioritised
2024-12-01,AA01,Marketing,Advertising,Perth,PER-LPT-003,1.0,
2024-12-01,AA01,Marketing,Advertising,Darwin,DAR-LPT-001,1.0,
2024-12-01,AA01,Marketing,Advertising,Darwin,DAR-WKS-002,1.0,
2024-12-01,AA01,Marketing,Advertising,Darwin,DAR-LPT-003,1.0,
2024-12-01,AA01,Marketing,Design,Sydney,SYD-LPT-001,1.0,
2024-12-01,AA01,Marketing,Design,Sydney,SYD-WKS-002,1.0,
2024-12-01,AA01,Marketing,Design,Sydney,SYD-LPT-003,0.0,Awaiting approval from change advisory board
2024-12-01,AA01,Marketing,Design,Brisbane,BRI-LPT-001,1.0,
2024-12-01,AA01,Marketing,Design,Brisbane,BRI-WKS-002,0.5,Partial - configuration applied to primary zone only
2024-12-01,AA01,Marketing,Design,Brisbane,BRI-LPT-003,1.0,
2024-12-01,AA01,Marketing,Design,Melbourne,MEL-LPT-001,1.0,
2024-12-01,AA01,Marketing,Design,Melbourne,MEL-WKS-002,1.0,
2024-12-01,AA01,Marketing,Design,Melbourne,MEL-LPT-003,0.0,User exemption granted until next review
2024-12-01,AA01,Marketing,Design,Perth,PER-LPT-001,1.0,
2024-12-01,AA01,Marketing,Design,Perth,PER-WKS-002,0.0,User exemption granted until next review
2024-12-01,AA01,Marketing,Design,Perth,PER-LPT-003,1.0,
2024-12-01,AA01,Marketing,Design,Darwin,DAR-LPT-001,1.0,
2024-12-01,AA01,Marketing,Design,Darwin,DAR-WKS-002,0.0,Awaiting approval from change advisory board
2024-12-01,AA01,Marketing,Design,Darwin,DAR-LPT-003,0.0,Patch not applied - pending maintenance window
2024-12-01,AA01,Production,Technical,Sydney,SYD-PLC-001,0.5,"Partial - monitoring enabled, enforcement pending"
2024-12-01,AA01,Production,Technical,Sydney,SYD-SRV-002,1.0,
2024-12-01,AA01,Production,Technical,Sydney,SYD-PLC-003,1.0,
2024-12-01,AA01,Production,Technical,Brisbane,BRI-PLC-001,0.75,"Partial - monitoring enabled, enforcement pending"
2024-12-01,AA01,Production,Technical,Brisbane,BRI-SRV-002,0.0,User exemption granted until next review
2024-12-01,AA01,Production,Technical,Brisbane,BRI-PLC-003,1.0,
2024-12-01,AA01,Production,Technical,Melbourne,MEL-PLC-001,0.0,User exemption granted until next review
2024-12-01,AA01,Production,Technical,Melbourne,MEL-SRV-002,1.0,
2024-12-01,AA01,Production,Technical,Melbourne,MEL-PLC-003,1.0,
2024-12-01,AA01,Production,Technical,Perth,PER-PLC-001,1.0,
2024-12-01,AA01,Production,Technical,Perth,PER-SRV-002,1.0,
2024-12-01,AA01,Production,Technical,Perth,PER-PLC-003,0.25,Partial - 3 of 4 sub-controls met
2024-12-01,AA01,Production,Technical,Darwin,DAR-PLC-001,0.0,User exemption granted until next review
2024-12-01,AA01,Production,Technical,Darwin,DAR-SRV-002,1.0,
2024-12-01,AA01,Production,Technical,Darwin,DAR-PLC-003,1.0,
2024-12-01,AA01,Production,Operations,Sydney,SYD-PLC-001,1.0,
2024-12-01,AA01,Production,Operations,Sydney,SYD-SRV-002,1.0,
2024-12-01,AA01,Production,Operations,Sydney,SYD-PLC-003,0.5,"Partial - monitoring enabled, enforcement pending"
2024-12-01,AA01,Production,Operations,Brisbane,BRI-PLC-001,0.0,Dependency on third-party vendor
2024-12-01,AA01,Production,Operations,Brisbane,BRI-SRV-002,0.75,"Partial - monitoring enabled, enforcement pending"
2024-12-01,AA01,Production,Operations,Brisbane,BRI-PLC-003,1.0,
2024-12-01,AA01,Production,Operations,Melbourne,MEL-PLC-001,1.0,
2024-12-01,AA01,Production,Operations,Melbourne,MEL-SRV-002,1.0,
2024-12-01,AA01,Production,Operations,Melbourne,MEL-PLC-003,0.0,Control not configured - awaiting change request
2024-12-01,AA01,Production,Operations,Perth,PER-PLC-001,1.0,
2024-12-01,AA01,Production,Operations,Perth,PER-SRV-002,1.0,
2024-12-01,AA01,Production,Operations,Perth,PER-PLC-003,1.0,
2024-12-01,AA01,Production,Operations,Darwin,DAR-PLC-001,1.0,
2024-12-01,AA01,Production,Operations,Darwin,DAR-SRV-002,1.0,
2024-12-01,AA01,Production,Operations,Darwin,DAR-PLC-003,1.0,
2024-12-01,AA01,Sales,Call center,Sydney,SYD-MOB-001,0.0,Awaiting approval from change advisory board
2024-12-01,AA01,Sales,Call center,Sydney,SYD-LPT-002,1.0,
2024-12-01,AA01,Sales,Call center,Sydney,SYD-MOB-003,0.0,Configuration drift detected
2024-12-01,AA01,Sales,Call center,Brisbane,BRI-MOB-001,1.0,
2024-12-01,AA01,Sales,Call center,Brisbane,BRI-LPT-002,1.0,
2024-12-01,AA01,Sales,Call center,Brisbane,BRI-MOB-003,1.0,
2024-12-01,AA01,Sales,Call center,Melbourne,MEL-MOB-001,1.0,
2024-12-01,AA01,Sales,Call center,Melbourne,MEL-LPT-002,1.0,
2024-12-01,AA01,Sales,Call center,Melbourne,MEL-MOB-003,1.0,
2024-12-01,AA01,Sales,Call center,Perth,PER-MOB-001,1.0,
2024-12-01,AA01,Sales,Call center,Perth,PER-LPT-002,0.0,Awaiting approval from change advisory board
2024-12-01,AA01,Sales,Call center,Perth,PER-MOB-003,0.0,Legacy system - remediation in backlog
2024-12-01,AA01,Sales,Call center,Darwin,DAR-MOB-001,1.0,
2024-12-01,AA01,Sales,Call center,Darwin,DAR-LPT-002,1.0,
2024-12-01,AA01,Sales,Call center,Darwin,DAR-MOB-003,1.0,
2024-12-01,AA01,Sales,Field officers,Sydney,SYD-MOB-001,1.0,
2024-12-01,AA01,Sales,Field officers,Sydney,SYD-LPT-002,0.0,Patch not applied - pending maintenance window
2024-12-01,AA01,Sales,Field officers,Sydney,SYD-MOB-003,1.0,
2024-12-01,AA01,Sales,Field officers,Brisbane,BRI-MOB-001,1.0,
2024-12-01,AA01,Sales,Field officers,Brisbane,BRI-LPT-002,0.0,Legacy system - remediation in backlog
2024-12-01,AA01,Sales,Field officers,Brisbane,BRI-MOB-003,1.0,
2024-12-01,AA01,Sales,Field officers,Melbourne,MEL-MOB-001,1.0,
2024-12-01,AA01,Sales,Field officers,Melbourne,MEL-LPT-002,1.0,
2024-12-01,AA01,Sales,Field officers,Melbourne,MEL-MOB-003,1.0,
2024-12-01,AA01,Sales,Field officers,Perth,PER-MOB-001,1.0,
2024-12-01,AA01,Sales,Field officers,Perth,PER-LPT-002,0.5,Partial - configuration applied to primary zone only
2024-12-01,AA01,Sales,Field officers,Perth,PER-MOB-003,1.0,
2024-12-01,AA01,Sales,Field officers,Darwin,DAR-MOB-001,1.0,
2024-12-01,AA01,Sales,Field officers,Darwin,DAR-LPT-002,1.0,
2024-12-01,AA01,Sales,Field officers,Darwin,DAR-MOB-003,1.0,
2024-12-01,AA01,IT,Operations,Sydney,SYD-SRV-001,0.0,Control not configured - awaiting change request
2024-12-01,AA01,IT,Operations,Sydney,SYD-WKS-002,1.0,
2024-12-01,AA01,IT,Operations,Sydney,SYD-SRV-003,1.0,
2024-12-01,AA01,IT,Operations,Brisbane,BRI-SRV-001,0.0,Dependency on third-party vendor
2024-12-01,AA01,IT,Operations,Brisbane,BRI-WKS-002,1.0,
2024-12-01,AA01,IT,Operations,Brisbane,BRI-SRV-003,1.0,
2024-12-01,AA01,IT,Operations,Melbourne,MEL-SRV-001,0.75,Partial - 3 of 4 sub-controls met
2024-12-01,AA01,IT,Operations,Melbourne,MEL-WKS-002,0.0,Legacy system - remediation in backlog
